,repository_name,language
0,.github,
1,.Net-Interactive-Kernels-ADS,Jupyter Notebook
2,.NET-Modernization-In-a-Day,JavaScript
3,0xDeCA10B,Python
4,2019-ignite-circuit-playground,Python
5,2023iotlevelup,Python
6,25-days-of-serverless,
7,2LCS,C#
8,3-in-1-dock,
9,30daysof,JavaScript
10,50BusinessAssignmentsLog,
11,A-CLIP,Python
12,A-TALE-OF-THREE-CITIES,R
13,aaai21-copy-that,Python
14,aad-app-credential-tools,PowerShell
15,aad-hybrid-lab,PowerShell
16,aadb2c-starter-kit,JavaScript
17,AADConnectConfigDocumenter,C#
18,aad_b2c_webview,Dart
19,AaronLocker,PowerShell
20,ABAP-SDK-for-Azure,ABAP
21,abap2git,ABAP
22,ability-attributes,TypeScript
23,abledom,TypeScript
24,abstrakt,Go
25,aca-dev-day,JavaScript
26,academic-knowledge-exploration-services-utilities,PowerShell
27,AcademicContent,Jupyter Notebook
28,acc,Bicep
29,acc-vm-engine,Go
30,accbpg,Jupyter Notebook
31,AccCheckerExtensionForVS,C#
32,accelerated-dft,Jupyter Notebook
33,acceleratoRs,HTML
34,Accera,C++
35,access-reviews-samples,PowerShell
36,accessibility-announcer,TypeScript
37,accessibility-insights-action,TypeScript
38,accessibility-insights-for-android-service,Java
39,accessibility-insights-service,TypeScript
40,accessibility-insights-web,TypeScript
41,accessibility-insights-windows,C#
42,Accessible-Connect,TypeScript
43,AccessorFramework,C++
44,AccountGuard,PowerShell
45,ace,Objective-C++
46,ace-ux-components,TypeScript
47,acoustic-bird-detection,Jupyter Notebook
48,Acoustic-Perception-for-Virtual-AI-Agents,C++
49,AcousticScatteringData,MATLAB
50,acr,
51,acs-kitchen-sink,TypeScript
52,act,Python
53,action-armttk,Shell
54,action-publish-symbols,TypeScript
55,action-python,
56,activate-sensorcore,C#
57,ActivateAzurewithDevOps,HTML
58,ActiveDirectoryDSC.Reverse,PowerShell
59,activities,C#
60,activity-log-export-automation,PowerShell
61,ACV,Python
62,ada,C++
63,ADAF,Python
64,AdaM,
65,AdaMix,Python
66,Adaptable,Java
67,adaptive-testing,Jupyter Notebook
68,AdaptiveCards,C#
69,AdaptiveCards-.NET,C#
70,adaptivecards-templates,TypeScript
71,adaptive_cloud_community,
72,adb2spark,
73,ADBench,C++
74,adcs-proxy-exit-module,C++
75,AddingSpeechToBots,C#
76,AddOutlookJapanHoliday,VBScript
77,Addressing-signal-delay-in-deep-RL,Python
78,adfs-sample-block-user-on-adfs-marked-risky-by-AzureAD-IdentityProtection,C#
79,adfs-sample-msal-dotnet-native-to-webapi,C#
80,adfs-sample-msal-dotnet-webapi-to-webapi-onbehalfof,C#
81,adfs-sample-RiskAssessmentModel-RiskyIPBlock,C#
82,adfsAuthAdapters,C#
83,adfsLogTools,
84,adfsManagementTools,
85,adfsOpenSource,
86,adfsToolbox,PowerShell
87,adfsUITesting,C#
88,adfsWebCustomization,JavaScript
89,ADLaM-Display,Makefile
90,adme-samples,HTML
91,admin-torch,Python
92,ado-codespaces-auth,TypeScript
93,ado-ml-batch-train,Jupyter Notebook
94,ado-npm-auth,TypeScript
95,ads-extension-telemetry,TypeScript
96,ads-kerberos,C++
97,ads-service-downloader,TypeScript
98,ADU,PowerShell
99,advanced-formula-environment,
100,Advanced-Threat-Analytics,PowerShell
101,advancedsecurity,
102,AdventureWorksSkiApp,C#
103,Adversarial-Chatter,Jupyter Notebook
104,AdversarialGMM,Python
105,advNLG,Python
106,AdvocacyPlatform,C#
107,adx-automotive-demos,Python
108,adx-query-charts,TypeScript
109,AEC-Challenge,
110,aed-blockchain-learn-content,
111,aed-content-nasa-su20,Jupyter Notebook
112,aed-external-learn-template,
113,aed-go-learn-content,
114,aed-learn-template,
115,aed-rust-learn-content,
116,aed-wonder-woman,Python
117,aerial_wildlife_detection,Python
118,AFD-EdgeActions,
119,affectbased,Python
120,AFUN-Demos,HTML
121,agdebugger,TypeScript
122,agdiag,C#
123,Agent-for-Contract-Processing-Solution-Accelerator,
124,agent-for-hr-service-solution-accelerator,HTML
125,agent-for-rfp-response-solution-accelerator,
126,AgentAsJudge,Python
127,agentic-report-generation,C#
128,AgenticCookBook,Python
129,Agents,PowerShell
130,Agents-for-Enhanced-Customer-Care-Solution-Accelerator,
131,Agents-for-js,TypeScript
132,Agents-for-net,C#
133,Agents-for-python,Python
134,agents-humanoversight,Python
135,Agents-M365Copilot,C#
136,AgentsClientSDK.Android,
137,AgentsClientSDK.Windows,
138,AGIC-Installer-assistant,PowerShell
139,agogosml,Python
140,ahds-inferno,Ruby
141,AHS-AppServiceDotNet,JavaScript
142,AI,Python
143,ai-agent-evals,Python
144,ai-agents-for-beginners,Jupyter Notebook
145,ai-at-edge,
146,ai-audio-descriptions,TypeScript
147,AI-Chat-App-Hack,
148,ai-chat-protocol,TypeScript
149,ai-dev-gallery,C#
150,ai-developer,TypeScript
151,ai-developer-demo,
152,AI-Developer-Plugin-for-Eclipse,
153,ai-edu,HTML
154,AI-For-Beginners,Jupyter Notebook
155,AI-for-Operations-Framework,Python
156,ai-for-startups-lab,
157,ai-foundry-for-vscode,
158,ai-freezer-azure,C#
159,ai-freezer-monitor,Jupyter Notebook
160,ai-gallery-extension,TypeScript
161,AI-Immersion-Workshop,Jupyter Notebook
162,ai-notebooks,Jupyter Notebook
163,ai-powered-notes-winui3-sample,C#
164,ai-py-param-validation,Python
165,AI-Red-Teaming-Playground-Labs,TypeScript
166,AI-Robot-Challenge-Lab,Python
167,ai-school-custom-vision-service-intro,C#
168,ai-sentry,Python
169,AI-System,Python
170,ai-utilities,Jupyter Notebook
171,ai.ed,TypeScript
172,AI2BMD,Python
173,ai4eutils,Jupyter Notebook
174,AI4FluidSimulations,C++
175,ai4g-flood,HTML
176,AIandJS,
177,AICentral,C#
178,aici,Rust
179,aicreator,Python
180,AIDocIntelligence,Python
181,AIFluency,
182,AIForAccessibility-Samples,JavaScript
183,AIforEarth-API-Development,Jupyter Notebook
184,AIforEarth-API-Platform,Shell
185,AIforEarthDataSets,Jupyter Notebook
186,aifundamentalbootcamp,Jupyter Notebook
187,aihlsIgnited,
188,aiida-autocas,Python
189,aiida-dynamic-workflows,Python
190,aiida-nwchemex,Python
191,aiida-pyscf,Python
192,AIInstitute,HTML
193,ailab,C#
194,AImagery,ShaderLab
195,AIMFGIgnited,JavaScript
196,AIOpsLab,Python
197,aip,
198,AirbandData,
199,AIReferenceArchitectures,
200,airflow-providers-microsoft-fabric,Python
201,AirSim,C++
202,AirSim-Drone-Racing-Lab,Python
203,AirSim-Drone-Racing-Lab-Source,C++
204,AirSim-Drone-Racing-VAE-Imitation,Python
205,AirSim-NeurIPS2019-Drone-Racing,Python
206,AISchoolTutorials,C#
207,aisdkforsapabap,ABAP
208,AISkillsForWindows,
209,aitour-advanced-coding-visual-studio-and-github-copilot,C#
210,aitour-ai-agents-theater-session,HTML
211,aitour-ai-and-low-code-innovation,
212,aitour-ai-apps-with-scalable-database,Jupyter Notebook
213,aitour-ai-readiness-with-azure,
214,aitour-azure-openai-assistants,Python
215,aitour-blueprint-to-transform-business,
216,aitour-build-a-copilot-on-azure-ai,
217,aitour-build-your-first-agent-with-azure-ai-agent-service,
218,aitour-building-copilots-with-copilot-studio,C#
219,aitour-buisness-impact-of-intelligent-apps,
220,aitour-cloud-native-apps-with-azure-ai-and-aks,HCL
221,aitour-concept-to-creation-ai-studio,Jupyter Notebook
222,aitour-copilot-implementation-essentials,
223,aitour-copilot-security-practices,
224,aitour-copilot-studio-agents-and-experiences,
225,aitour-customizing-microsoft-copilot,TypeScript
226,aitour-customizing-trustworthy-gen-ai-systems-with-azure-open-ai,
227,aitour-data-analytics-for-ai-innovation,
228,aitour-data-security-for-ai,
229,aitour-e2e-dev-with-prompty-and-ai-studio,Python
230,aitour-ecommerce-app-with-ai,C#
231,aitour-eshop-api,C#
232,aitour-Essential-Prompting-for-GitHub-Copilot-in-VS-Code,JavaScript
233,aitour-Essential-Prompting-for-GitHub-Copilot-in-VS-Code-v2,
234,aitour-exploring-cutting-edge-models,C++
235,aitour-generative-ai-in-azure,Shell
236,aitour-get-started-with-fabric,
237,aitour-getting-started-with-ai-agents,Jupyter Notebook
238,aitour-github-advanced-security-workflow,JavaScript
239,aitour-interact-with-llms,
240,aitour-leveraging-ai-for-infrastructure-management,Dockerfile
241,aitour-llmops-with-gen-ai-tools,
242,aitour-models-as-a-service-15-minute-theatre-talk,Python
243,aitour-modern-security-with-copilot,
244,aitour-operate-ai-responsibly-with-ai-studio,Jupyter Notebook
245,aitour-opimizing-your-ai-costs,PostScript
246,aitour-preparing-for-ai-workloads,
247,aitour-rag-with-ai-search,
248,aitour-reimagine-fabric-intelligence,
249,aitour-repo-principal-list,
250,aitour-secure-future-in-ai-age,
251,aitour-securing-ai-apps-on-azure,
252,aitour-unlock-value-with-copilot,
253,aitour-whats-new-with-fabric,
254,aitour-windows-theater,C#
255,aitour-writing-assistant-with-azure-openai,
256,AIVisualProvision,C#
257,AI_Agents_Hackathon,
258,ajaxmin,C#
259,aka,
260,Akal-Badi-ya-Bias,Python
261,Akoustos,Jupyter Notebook
262,AKS-Arc-Apps,PowerShell
263,aks-dev-day,HTML
264,aks-ingress-contour-cert-manager-lets-encrypt,Shell
265,aks-postgre-keyrotation,Shell
266,AKSDeploymentTutorial,Jupyter Notebook
267,aksworkshop,CSS
268,AL,PowerShell
269,AL-Go,PowerShell
270,AL-Go-Actions,PowerShell
271,AL-Go-AppSource,PowerShell
272,AL-Go-AppSource-Preview,PowerShell
273,AL-Go-PTE,PowerShell
274,AL-Go-PTE-Preview,PowerShell
275,ALAppExtensions,AL
276,ALEX,C++
277,alguidelines,SCSS
278,AliveInLean,Lean
279,all-things-azure,Python
280,Aly-Profile,
281,Alympics,Python
282,AmbariBasedHadoopExporter,C#
283,AMBROSIA,C#
284,Americas-Power-Platform-Global-Black-Belts,
285,amf0,Go
286,aml-acceleration-template,Python
287,aml-pipelines-demo,Python
288,amlFilesystem-lustre,C
289,amlFilesystem-tools,Shell
290,AMLSDKRModelsOperationalization,HTML
291,AMLWorkshop,Jupyter Notebook
292,AML_Interpret_usecases,Jupyter Notebook
293,AMOS,Python
294,amplify,Shell
295,AMRL-ICLR2020,Python
296,amudai,Rust
297,analysing_pii_leakage,Python
298,Analysis-Framework-for-TVM,Python
299,Analysis-Services,C#
300,analyzer-for-robot-teaching-demonstrations,Python
301,AnanthaRekha,C#
302,ANCE,Python
303,android-app-size-diff,TypeScript
304,android-samples,Kotlin
305,Angara,F#
306,Angara.Chart,F#
307,Angara.Flow,F#
308,Angara.Serialization,F#
309,Angara.Statistics,F#
310,Angara.Table,F#
311,angle,
312,angular-react,TypeScript
313,angular2-in-visual-studio,TypeScript
314,angular2-slickgrid,TypeScript
315,AngularLanguageServiceExtFeedback,
316,Annotation-Factory,Python
317,anomaly-detector,Python
318,anomalydetector,Python
319,AnsibleLabs,Python
320,antares,C++
321,AnyContainer,C#
322,anymatch,JavaScript
323,aoai-api-simulator,Python
324,aoai-batch-buddy,C#
